product_id,sku,name,brand,category,price,stock,rating,description,image_url
11,CL-LUX-7304,Eco-Friendly LuxeSilk Athletic Running Shorts,LuxeSilk,Clothing,235.15,145,3.9,Experience the ultimate performance with the Eco-Friendly LuxeSilk Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1504047709743?auto=format&fit=crop&w=600&q=80
12,EL-AUR-6573,Durable Aura USB-C Hub,Aura,Electronics,75.81,126,3.5,Experience the ultimate performance with the Durable Aura USB-C Hub. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1537450743307?auto=format&fit=crop&w=600&q=80
13,SP-TRA-5889,Eco-Friendly TrailBlazer Lightweight Backpack,TrailBlazer,Sports & Outdoors,506.57,60,3.7,Experience the ultimate performance with the Eco-Friendly TrailBlazer Lightweight Backpack. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1524749795425?auto=format&fit=crop&w=600&q=80
14,SP-WIL-6310,Compact WildCore Insulated Water Bottle,WildCore,Sports & Outdoors,298.27,3,4.8,Experience the ultimate performance with the Compact WildCore Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1531385534207?auto=format&fit=crop&w=600&q=80
15,EL-GAD-2403,Eco-Friendly GadgetCo Mechanical Keyboard,GadgetCo,Electronics,441.82,146,4.6,Experience the ultimate performance with the Eco-Friendly GadgetCo Mechanical Keyboard. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1590745750365?auto=format&fit=crop&w=600&q=80
16,BE-COL-9645,Durable ColorPop Matte Liquid Lipstick,ColorPop,Beauty,524.73,64,4.9,Experience the ultimate performance with the Durable ColorPop Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1528732762716?auto=format&fit=crop&w=600&q=80
17,HO-CLE-9479,Classic CleanSweep Memory Foam Pillow,CleanSweep,Home & Kitchen,276.37,26,4.0,Experience the ultimate performance with the Classic CleanSweep Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1575541210722?auto=format&fit=crop&w=600&q=80
18,CL-DEN-2163,Premium DenimLab Slim-Fit Chino Pants,DenimLab,Clothing,427.62,0,3.6,Experience the ultimate performance with the Premium DenimLab Slim-Fit Chino Pants. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1510009114172?auto=format&fit=crop&w=600&q=80
19,SP-TRA-4510,Classic TrailBlazer Resistance Bands Set,TrailBlazer,Sports & Outdoors,328.14,131,3.9,Experience the ultimate performance with the Classic TrailBlazer Resistance Bands Set. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1527518113010?auto=format&fit=crop&w=600&q=80
20,EL-TEC-6804,Ultra-Light TechCorp Charging Pad,TechCorp,Electronics,259.9,23,4.5,Experience the ultimate performance with the Ultra-Light TechCorp Charging Pad. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1590126303312?auto=format&fit=crop&w=600&q=80
21,EL-TEC-2790,Sleek TechCorp 4K Monitor,TechCorp,Electronics,156.7,4,3.7,Experience the ultimate performance with the Sleek TechCorp 4K Monitor. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1535147813494?auto=format&fit=crop&w=600&q=80
22,BE-PUR-2604,Classic PureRadiance Hydrating Face Serum,PureRadiance,Beauty,39.84,13,5.0,Experience the ultimate performance with the Classic PureRadiance Hydrating Face Serum. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1533709891493?auto=format&fit=crop&w=600&q=80
23,CL-LUX-4502,Classic LuxeSilk Organic Cotton T-Shirt,LuxeSilk,Clothing,520.13,52,4.1,Experience the ultimate performance with the Classic LuxeSilk Organic Cotton T-Shirt. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1555771476808?auto=format&fit=crop&w=600&q=80
24,HO-CLE-8973,Ultra-Light CleanSweep Memory Foam Pillow,CleanSweep,Home & Kitchen,101.32,24,4.4,Experience the ultimate performance with the Ultra-Light CleanSweep Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1506623677968?auto=format&fit=crop&w=600&q=80
25,HO-COO-8811,Compact CookSmart Stainless Steel Kettle,CookSmart,Home & Kitchen,306.67,50,3.6,Experience the ultimate performance with the Compact CookSmart Stainless Steel Kettle. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1510771041378?auto=format&fit=crop&w=600&q=80
26,CL-THR-4853,Eco-Friendly ThreadCo Athletic Running Shorts,ThreadCo,Clothing,248.22,73,4.4,Experience the ultimate performance with the Eco-Friendly ThreadCo Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1581775067774?auto=format&fit=crop&w=600&q=80
27,EL-QUA-9565,Compact Quantum Charging Pad,Quantum,Electronics,196.65,90,3.9,Experience the ultimate performance with the Compact Quantum Charging Pad. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1518879756454?auto=format&fit=crop&w=600&q=80
28,HO-CLE-1152,Eco-Friendly CleanSweep Memory Foam Pillow,CleanSweep,Home & Kitchen,280.38,35,3.6,Experience the ultimate performance with the Eco-Friendly CleanSweep Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1569634967531?auto=format&fit=crop&w=600&q=80
29,HO-NES-5002,Eco-Friendly NestComfort Memory Foam Pillow,NestComfort,Home & Kitchen,228.01,5,4.6,Experience the ultimate performance with the Eco-Friendly NestComfort Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1571528283622?auto=format&fit=crop&w=600&q=80
30,EL-AUR-3200,Eco-Friendly Aura Bluetooth Speaker,Aura,Electronics,166.02,49,3.9,Experience the ultimate performance with the Eco-Friendly Aura Bluetooth Speaker. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1528367528107?auto=format&fit=crop&w=600&q=80
31,HO-NES-9004,Pro-Series NestComfort Memory Foam Pillow,NestComfort,Home & Kitchen,158.15,23,3.6,Experience the ultimate performance with the Pro-Series NestComfort Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1505483299827?auto=format&fit=crop&w=600&q=80
32,EL-VOL-5291,Minimalist Volt USB-C Hub,Volt,Electronics,105.32,119,4.3,Experience the ultimate performance with the Minimalist Volt USB-C Hub. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1509070429256?auto=format&fit=crop&w=600&q=80
33,CL-DEN-3426,Sleek DenimLab Classic Crewneck Sweater,DenimLab,Clothing,263.56,0,1.9,Experience the ultimate performance with the Sleek DenimLab Classic Crewneck Sweater. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1527306582726?auto=format&fit=crop&w=600&q=80
34,CL-THR-7658,Pro-Series ThreadCo Water-Resistant Windbreaker,ThreadCo,Clothing,584.55,70,4.8,Experience the ultimate performance with the Pro-Series ThreadCo Water-Resistant Windbreaker. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1524957074522?auto=format&fit=crop&w=600&q=80
35,BE-GLO-7745,Sleek GlowBio Matte Liquid Lipstick,GlowBio,Beauty,483.31,73,3.9,Experience the ultimate performance with the Sleek GlowBio Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1597871028287?auto=format&fit=crop&w=600&q=80
36,EL-QUA-8711,Premium Quantum USB-C Hub,Quantum,Electronics,141.23,127,4.0,Experience the ultimate performance with the Premium Quantum USB-C Hub. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1533807075019?auto=format&fit=crop&w=600&q=80
37,CL-THR-6378,Ultra-Light ThreadCo Slim-Fit Chino Pants,ThreadCo,Clothing,174.37,0,4.7,Experience the ultimate performance with the Ultra-Light ThreadCo Slim-Fit Chino Pants. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1587407507057?auto=format&fit=crop&w=600&q=80
38,SP-IRO-1452,Sleek IronGear Lightweight Backpack,IronGear,Sports & Outdoors,78.04,55,4.4,Experience the ultimate performance with the Sleek IronGear Lightweight Backpack. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1538584055930?auto=format&fit=crop&w=600&q=80
39,EL-TEC-6663,Ultra-Light TechCorp Mechanical Keyboard,TechCorp,Electronics,439.83,140,3.7,Experience the ultimate performance with the Ultra-Light TechCorp Mechanical Keyboard. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1581172754729?auto=format&fit=crop&w=600&q=80
40,CL-URB-1027,Ultra-Light UrbanFit Classic Crewneck Sweater,UrbanFit,Clothing,316.74,60,4.0,Experience the ultimate performance with the Ultra-Light UrbanFit Classic Crewneck Sweater. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1583022576975?auto=format&fit=crop&w=600&q=80
41,HO-COO-6067,Pro-Series CookSmart Memory Foam Pillow,CookSmart,Home & Kitchen,403.46,85,4.3,Experience the ultimate performance with the Pro-Series CookSmart Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1556658521782?auto=format&fit=crop&w=600&q=80
42,BE-PUR-5930,Compact PureRadiance Exfoliating Body Scrub,PureRadiance,Beauty,249.57,87,3.9,Experience the ultimate performance with the Compact PureRadiance Exfoliating Body Scrub. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1584095394278?auto=format&fit=crop&w=600&q=80
43,HO-CLE-4501,Classic CleanSweep Digital Food Scale,CleanSweep,Home & Kitchen,311.58,53,4.5,Experience the ultimate performance with the Classic CleanSweep Digital Food Scale. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1569938330064?auto=format&fit=crop&w=600&q=80
44,SP-HYD-6085,Ergonomic HydroFit Insulated Water Bottle,HydroFit,Sports & Outdoors,142.53,1,3.6,Experience the ultimate performance with the Ergonomic HydroFit Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1568650482468?auto=format&fit=crop&w=600&q=80
45,SP-PEA-4185,Ultra-Light PeakPulse Waterproof Camping Tent,PeakPulse,Sports & Outdoors,433.81,112,3.9,Experience the ultimate performance with the Ultra-Light PeakPulse Waterproof Camping Tent. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1597307028201?auto=format&fit=crop&w=600&q=80
46,EL-TEC-4585,Ultra-Light TechCorp USB-C Hub,TechCorp,Electronics,113.76,142,4.2,Experience the ultimate performance with the Ultra-Light TechCorp USB-C Hub. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1532458810745?auto=format&fit=crop&w=600&q=80
47,EL-QUA-9702,Classic Quantum Smart Watch,Quantum,Electronics,592.85,123,4.4,Experience the ultimate performance with the Classic Quantum Smart Watch. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1558002580547?auto=format&fit=crop&w=600&q=80
48,SP-IRO-8373,Classic IronGear Ergonomic Yoga Mat,IronGear,Sports & Outdoors,162.91,80,4.6,Experience the ultimate performance with the Classic IronGear Ergonomic Yoga Mat. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1566663475091?auto=format&fit=crop&w=600&q=80
49,CL-URB-5681,Eco-Friendly UrbanFit Organic Cotton T-Shirt,UrbanFit,Clothing,148.34,148,3.6,Experience the ultimate performance with the Eco-Friendly UrbanFit Organic Cotton T-Shirt. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1530712583830?auto=format&fit=crop&w=600&q=80
50,BE-PUR-7797,Eco-Friendly PureRadiance Matte Liquid Lipstick,PureRadiance,Beauty,250.47,116,3.6,Experience the ultimate performance with the Eco-Friendly PureRadiance Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1559411815182?auto=format&fit=crop&w=600&q=80
51,BE-COL-7232,Compact ColorPop Hydrating Face Serum,ColorPop,Beauty,291.41,86,4.6,Experience the ultimate performance with the Compact ColorPop Hydrating Face Serum. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1574814126733?auto=format&fit=crop&w=600&q=80
52,SP-WIL-4595,Classic WildCore Ergonomic Yoga Mat,WildCore,Sports & Outdoors,171.02,109,4.0,Experience the ultimate performance with the Classic WildCore Ergonomic Yoga Mat. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1575687017337?auto=format&fit=crop&w=600&q=80
53,EL-QUA-1444,Compact Quantum Mechanical Keyboard,Quantum,Electronics,59.52,128,3.8,Experience the ultimate performance with the Compact Quantum Mechanical Keyboard. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1552656970404?auto=format&fit=crop&w=600&q=80
54,HO-NES-6529,Sleek NestComfort Digital Food Scale,NestComfort,Home & Kitchen,459.12,117,3.9,Experience the ultimate performance with the Sleek NestComfort Digital Food Scale. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1564776294029?auto=format&fit=crop&w=600&q=80
55,EL-AUR-4673,Sleek Aura Wireless Earbuds,Aura,Electronics,393.58,20,4.6,Experience the ultimate performance with the Sleek Aura Wireless Earbuds. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1534143322405?auto=format&fit=crop&w=600&q=80
56,CL-THR-4908,Minimalist ThreadCo Athletic Running Shorts,ThreadCo,Clothing,84.46,65,4.2,Experience the ultimate performance with the Minimalist ThreadCo Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1523059229191?auto=format&fit=crop&w=600&q=80
57,SP-WIL-6096,Minimalist WildCore Insulated Water Bottle,WildCore,Sports & Outdoors,73.77,0,1.7,Experience the ultimate performance with the Minimalist WildCore Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1555654928546?auto=format&fit=crop&w=600&q=80
58,BE-PUR-4978,Compact PureRadiance Hydrating Face Serum,PureRadiance,Beauty,70.11,40,4.7,Experience the ultimate performance with the Compact PureRadiance Hydrating Face Serum. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1547421030846?auto=format&fit=crop&w=600&q=80
59,SP-IRO-9289,Eco-Friendly IronGear Resistance Bands Set,IronGear,Sports & Outdoors,392.04,0,2.0,Experience the ultimate performance with the Eco-Friendly IronGear Resistance Bands Set. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1514990302189?auto=format&fit=crop&w=600&q=80
60,BE-SCE-8135,Minimalist ScentOasis Organic Argan Hair Oil,ScentOasis,Beauty,113.91,79,4.4,Experience the ultimate performance with the Minimalist ScentOasis Organic Argan Hair Oil. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1576964171798?auto=format&fit=crop&w=600&q=80
61,BE-VEL-5397,Compact VelvetSkin Organic Argan Hair Oil,VelvetSkin,Beauty,200.15,32,3.9,Experience the ultimate performance with the Compact VelvetSkin Organic Argan Hair Oil. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1532000950925?auto=format&fit=crop&w=600&q=80
62,BE-COL-6511,Ultra-Light ColorPop Exfoliating Body Scrub,ColorPop,Beauty,26.92,56,4.2,Experience the ultimate performance with the Ultra-Light ColorPop Exfoliating Body Scrub. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1544059288123?auto=format&fit=crop&w=600&q=80
63,HO-ECO-1166,Pro-Series EcoLiving Memory Foam Pillow,EcoLiving,Home & Kitchen,314.8,2,4.6,Experience the ultimate performance with the Pro-Series EcoLiving Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1575112869912?auto=format&fit=crop&w=600&q=80
64,CL-LUX-1282,Classic LuxeSilk Organic Cotton T-Shirt,LuxeSilk,Clothing,64.89,72,4.0,Experience the ultimate performance with the Classic LuxeSilk Organic Cotton T-Shirt. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1549742402490?auto=format&fit=crop&w=600&q=80
65,BE-COL-7971,Sleek ColorPop Exfoliating Body Scrub,ColorPop,Beauty,598.0,100,4.6,Experience the ultimate performance with the Sleek ColorPop Exfoliating Body Scrub. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1539818282850?auto=format&fit=crop&w=600&q=80
66,HO-NES-6169,Ergonomic NestComfort Stainless Steel Kettle,NestComfort,Home & Kitchen,80.53,57,3.8,Experience the ultimate performance with the Ergonomic NestComfort Stainless Steel Kettle. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1567596792264?auto=format&fit=crop&w=600&q=80
67,HO-ECO-5636,Compact EcoLiving Ceramic Coffee Mug,EcoLiving,Home & Kitchen,588.49,85,3.8,Experience the ultimate performance with the Compact EcoLiving Ceramic Coffee Mug. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1539425401235?auto=format&fit=crop&w=600&q=80
68,EL-AUR-1745,Durable Aura Smart Watch,Aura,Electronics,584.82,42,4.5,Experience the ultimate performance with the Durable Aura Smart Watch. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1567657727202?auto=format&fit=crop&w=600&q=80
69,EL-TEC-8690,Durable TechCorp Mechanical Keyboard,TechCorp,Electronics,292.43,23,3.9,Experience the ultimate performance with the Durable TechCorp Mechanical Keyboard. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1568125581388?auto=format&fit=crop&w=600&q=80
70,EL-TEC-2213,Classic TechCorp 4K Monitor,TechCorp,Electronics,350.43,48,3.7,Experience the ultimate performance with the Classic TechCorp 4K Monitor. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1509894898206?auto=format&fit=crop&w=600&q=80
71,CL-THR-4697,Ultra-Light ThreadCo Athletic Running Shorts,ThreadCo,Clothing,467.65,123,3.9,Experience the ultimate performance with the Ultra-Light ThreadCo Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1540496515783?auto=format&fit=crop&w=600&q=80
72,SP-WIL-2625,Compact WildCore Insulated Water Bottle,WildCore,Sports & Outdoors,569.07,64,3.9,Experience the ultimate performance with the Compact WildCore Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1521823534004?auto=format&fit=crop&w=600&q=80
73,CL-VOG-3564,Eco-Friendly Vogue Athletic Running Shorts,Vogue,Clothing,11.57,130,3.9,Experience the ultimate performance with the Eco-Friendly Vogue Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1539648888517?auto=format&fit=crop&w=600&q=80
74,HO-CLE-5334,Ergonomic CleanSweep Stainless Steel Kettle,CleanSweep,Home & Kitchen,474.81,60,4.1,Experience the ultimate performance with the Ergonomic CleanSweep Stainless Steel Kettle. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1532403648693?auto=format&fit=crop&w=600&q=80
75,CL-URB-1977,Eco-Friendly UrbanFit Slim-Fit Chino Pants,UrbanFit,Clothing,107.88,83,4.2,Experience the ultimate performance with the Eco-Friendly UrbanFit Slim-Fit Chino Pants. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1596502322947?auto=format&fit=crop&w=600&q=80
76,HO-CLE-9847,Pro-Series CleanSweep Memory Foam Pillow,CleanSweep,Home & Kitchen,301.33,1,4.8,Experience the ultimate performance with the Pro-Series CleanSweep Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1546104472157?auto=format&fit=crop&w=600&q=80
77,SP-HYD-4750,Eco-Friendly HydroFit Insulated Water Bottle,HydroFit,Sports & Outdoors,577.52,15,5.0,Experience the ultimate performance with the Eco-Friendly HydroFit Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1578466952366?auto=format&fit=crop&w=600&q=80
78,EL-GAD-8245,Pro-Series GadgetCo 4K Monitor,GadgetCo,Electronics,550.47,5,4.2,Experience the ultimate performance with the Pro-Series GadgetCo 4K Monitor. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1567921664860?auto=format&fit=crop&w=600&q=80
79,EL-QUA-6460,Ultra-Light Quantum Bluetooth Speaker,Quantum,Electronics,199.41,2,4.0,Experience the ultimate performance with the Ultra-Light Quantum Bluetooth Speaker. Designed for modern users seeking quality in electronics.,https://images.unsplash.com/photo-1567403815179?auto=format&fit=crop&w=600&q=80
80,HO-CLE-8451,Premium CleanSweep Ceramic Coffee Mug,CleanSweep,Home & Kitchen,61.95,39,5.0,Experience the ultimate performance with the Premium CleanSweep Ceramic Coffee Mug. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1504243939720?auto=format&fit=crop&w=600&q=80
81,SP-IRO-4073,Premium IronGear Waterproof Camping Tent,IronGear,Sports & Outdoors,315.87,137,4.4,Experience the ultimate performance with the Premium IronGear Waterproof Camping Tent. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1507559101808?auto=format&fit=crop&w=600&q=80
82,CL-URB-5719,Minimalist UrbanFit Athletic Running Shorts,UrbanFit,Clothing,268.48,41,3.5,Experience the ultimate performance with the Minimalist UrbanFit Athletic Running Shorts. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1584310303682?auto=format&fit=crop&w=600&q=80
83,CL-VOG-1224,Pro-Series Vogue Water-Resistant Windbreaker,Vogue,Clothing,335.82,1,4.2,Experience the ultimate performance with the Pro-Series Vogue Water-Resistant Windbreaker. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1586403859171?auto=format&fit=crop&w=600&q=80
84,CL-LUX-5479,Pro-Series LuxeSilk Water-Resistant Windbreaker,LuxeSilk,Clothing,255.13,130,3.9,Experience the ultimate performance with the Pro-Series LuxeSilk Water-Resistant Windbreaker. Designed for modern users seeking quality in clothing.,https://images.unsplash.com/photo-1519547534656?auto=format&fit=crop&w=600&q=80
85,BE-PUR-3236,Pro-Series PureRadiance Exfoliating Body Scrub,PureRadiance,Beauty,519.77,116,4.0,Experience the ultimate performance with the Pro-Series PureRadiance Exfoliating Body Scrub. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1572102697247?auto=format&fit=crop&w=600&q=80
86,HO-COO-9022,Durable CookSmart Memory Foam Pillow,CookSmart,Home & Kitchen,520.49,133,4.0,Experience the ultimate performance with the Durable CookSmart Memory Foam Pillow. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1553873621917?auto=format&fit=crop&w=600&q=80
87,BE-SCE-7274,Ergonomic ScentOasis Matte Liquid Lipstick,ScentOasis,Beauty,147.79,21,4.0,Experience the ultimate performance with the Ergonomic ScentOasis Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1596520698024?auto=format&fit=crop&w=600&q=80
88,BE-VEL-1606,Classic VelvetSkin Matte Liquid Lipstick,VelvetSkin,Beauty,84.48,94,4.8,Experience the ultimate performance with the Classic VelvetSkin Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1514776002664?auto=format&fit=crop&w=600&q=80
89,SP-IRO-7717,Minimalist IronGear Insulated Water Bottle,IronGear,Sports & Outdoors,523.84,29,4.2,Experience the ultimate performance with the Minimalist IronGear Insulated Water Bottle. Designed for modern users seeking quality in sports & outdoors.,https://images.unsplash.com/photo-1538522436257?auto=format&fit=crop&w=600&q=80
90,HO-ECO-6383,Eco-Friendly EcoLiving Digital Food Scale,EcoLiving,Home & Kitchen,512.87,107,4.9,Experience the ultimate performance with the Eco-Friendly EcoLiving Digital Food Scale. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1597181362471?auto=format&fit=crop&w=600&q=80
91,BE-COL-2121,Compact ColorPop Hydrating Face Serum,ColorPop,Beauty,148.5,83,5.0,Experience the ultimate performance with the Compact ColorPop Hydrating Face Serum. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1511797271712?auto=format&fit=crop&w=600&q=80
92,BE-GLO-3725,Classic GlowBio Hydrating Face Serum,GlowBio,Beauty,419.45,21,4.0,Experience the ultimate performance with the Classic GlowBio Hydrating Face Serum. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1538895735906?auto=format&fit=crop&w=600&q=80
93,HO-BRE-5000,Minimalist BrewMaster Digital Food Scale,BrewMaster,Home & Kitchen,323.38,56,3.8,Experience the ultimate performance with the Minimalist BrewMaster Digital Food Scale. Designed for modern users seeking quality in home & kitchen.,https://images.unsplash.com/photo-1581943545097?auto=format&fit=crop&w=600&q=80
94,BE-COL-3344,Classic ColorPop Matte Liquid Lipstick,ColorPop,Beauty,146.98,127,3.9,Experience the ultimate performance with the Classic ColorPop Matte Liquid Lipstick. Designed for modern users seeking quality in beauty.,https://images.unsplash.com/photo-1563585414880?auto=format&fit=crop&w=600&q=80
